Day_of_Week,Hour_of_Day,Month_of_Year,Week_of_Month,Temperature,Energy_Consumption,Energy_Consumption_Lag1,Energy_Consumption_Lag24,Is_Holiday,Is_Weekend
0,0,1,1,2.606128331,59.50948334,,,0,0
0,1,1,1,2.606128331,52.93180666,59.50948334,,0,0
0,2,1,1,2.606128331,48.06364948,52.93180666,,0,0
0,3,1,1,2.606128331,56.14476101,48.06364948,,0,0
0,4,1,1,2.606128331,59.31814144,56.14476101,,0,0
0,5,1,1,2.606128331,52.28866151,59.31814144,,0,0
0,6,1,1,2.606128331,79.01539205,52.28866151,,0,0
0,7,1,1,2.606128331,73.22283419,79.01539205,,0,0
0,8,1,1,2.606128331,85.69517106,73.22283419,,0,0
0,9,1,1,2.606128331,78.91492452,85.69517106,,0,0
0,10,1,1,2.606128331,80.15876148,78.91492452,,0,0
0,11,1,1,2.606128331,82.59813856,80.15876148,,0,0
0,12,1,1,2.606128331,71.97557922,82.59813856,,0,0
0,13,1,1,2.606128331,80.80082962,71.97557922,,0,0
0,14,1,1,2.606128331,84.20857217,80.80082962,,0,0
0,15,1,1,2.606128331,78.75259474,84.20857217,,0,0
0,16,1,1,2.606128331,82.21295043,78.75259474,,0,0
0,17,1,1,2.606128331,80.78371819,82.21295043,,0,0
0,18,1,1,2.606128331,98.54733629,80.78371819,,0,0
0,19,1,1,2.606128331,93.89146437,98.54733629,,0,0
0,20,1,1,2.606128331,99.05913403,93.89146437,,0,0
0,21,1,1,2.606128331,94.43886666,99.05913403,,0,0
0,22,1,1,2.606128331,98.06428613,94.43886666,,0,0
0,23,1,1,2.606128331,93.1979784,98.06428613,,0,0
1,0,1,1,9.599513134,55.27457727,,59.50948334,0,0
1,1,1,1,9.599513134,61.25664722,55.27457727,52.93180666,0,0
1,2,1,1,9.599513134,49.81734628,61.25664722,48.06364948,0,0
1,3,1,1,9.599513134,53.85763583,49.81734628,56.14476101,0,0
1,4,1,1,9.599513134,66.06050102,53.85763583,59.31814144,0,0
1,5,1,1,9.599513134,45.50887088,66.06050102,52.28866151,0,0
1,6,1,1,9.599513134,82.85852039,45.50887088,79.01539205,0,0
1,7,1,1,9.599513134,76.31889661,82.85852039,73.22283419,0,0
1,8,1,1,9.599513134,71.64312361,76.31889661,85.69517106,0,0
1,9,1,1,9.599513134,84.87448643,71.64312361,78.91492452,0,0
1,10,1,1,9.599513134,74.33635533,84.87448643,80.15876148,0,0
1,11,1,1,9.599513134,77.23472522,74.33635533,82.59813856,0,0
1,12,1,1,9.599513134,80.96387502,77.23472522,71.97557922,0,0
1,13,1,1,9.599513134,76.58525633,80.96387502,80.80082962,0,0
1,14,1,1,9.599513134,75.62364802,76.58525633,84.20857217,0,0
1,15,1,1,9.599513134,76.02020573,75.62364802,78.75259474,0,0
1,16,1,1,9.599513134,82.1274268,76.02020573,82.21295043,0,0
1,17,1,1,9.599513134,76.28162357,82.1274268,80.78371819,0,0
1,18,1,1,9.599513134,95.92832339,76.28162357,98.54733629,0,0
1,19,1,1,9.599513134,92.85755723,95.92832339,93.89146437,0,0
1,20,1,1,9.599513134,98.75138683,92.85755723,99.05913403,0,0
1,21,1,1,9.599513134,93.5095798,98.75138683,94.43886666,0,0
1,22,1,1,9.599513134,93.2559966,93.5095798,98.06428613,0,0
1,23,1,1,9.599513134,101.1132839,93.2559966,93.1979784,0,0
2,0,1,1,5.216606307,62.93932513,,55.27457727,0,0
2,1,1,1,5.216606307,59.17996236,62.93932513,61.25664722,0,0
2,2,1,1,5.216606307,53.98651119,59.17996236,49.81734628,0,0
2,3,1,1,5.216606307,51.98519426,53.98651119,53.85763583,0,0
2,4,1,1,5.216606307,59.19019307,51.98519426,66.06050102,0,0
2,5,1,1,5.216606307,58.13886123,59.19019307,45.50887088,0,0
2,6,1,1,5.216606307,76.36101573,58.13886123,82.85852039,0,0
2,7,1,1,5.216606307,82.60287811,76.36101573,76.31889661,0,0
2,8,1,1,5.216606307,81.40251599,82.60287811,71.64312361,0,0
2,9,1,1,5.216606307,78.03006216,81.40251599,84.87448643,0,0
2,10,1,1,5.216606307,84.36250451,78.03006216,74.33635533,0,0
2,11,1,1,5.216606307,87.66055038,84.36250451,77.23472522,0,0
2,12,1,1,5.216606307,78.24776279,87.66055038,80.96387502,0,0
2,13,1,1,5.216606307,81.94245268,78.24776279,76.58525633,0,0
2,14,1,1,5.216606307,81.35211757,81.94245268,75.62364802,0,0
2,15,1,1,5.216606307,78.44513694,81.35211757,76.02020573,0,0
2,16,1,1,5.216606307,86.97003163,78.44513694,82.1274268,0,0
2,17,1,1,5.216606307,78.4166868,86.97003163,76.28162357,0,0
2,18,1,1,5.216606307,96.36630452,78.4166868,95.92832339,0,0
2,19,1,1,5.216606307,100.2391955,96.36630452,92.85755723,0,0
2,20,1,1,5.216606307,89.56372934,100.2391955,98.75138683,0,0
2,21,1,1,5.216606307,96.18066587,89.56372934,93.5095798,0,0
2,22,1,1,5.216606307,84.93550521,96.18066587,93.2559966,0,0
2,23,1,1,5.216606307,101.9068589,84.93550521,101.1132839,0,0
3,0,1,1,6.55040423,55.02133456,,62.93932513,0,0
3,1,1,1,6.55040423,59.10494074,55.02133456,59.17996236,0,0
3,2,1,1,6.55040423,57.01800869,59.10494074,53.98651119,0,0
3,3,1,1,6.55040423,60.90313747,57.01800869,51.98519426,0,0
3,4,1,1,6.55040423,55.36932576,60.90313747,59.19019307,0,0
3,5,1,1,6.55040423,64.50656799,55.36932576,58.13886123,0,0
